Topo,Z,b,Update,K,C_mean,Tstop_mean,Tstop_std,Stop_absorb_frac,Stop_std_frac,Stop_max_frac
BA,4,1.0,proportional,,0.99269924,2006.31,52.83383291036152,0.0,1.0,0.0
BA,4,1.0,fermi,0.05,1.0,91.12,57.71295868347074,1.0,0.0,0.0
BA,4,1.0,fermi,0.1,1.0,91.12,57.71295868347074,1.0,0.0,0.0
BA,4,1.0,fermi,0.2,1.0,90.18,56.776118218842676,1.0,0.0,0.0
BA,4,1.0,fermi,0.5,1.0,91.19,57.21725176902505,1.0,0.0,0.0
BA,4,1.1,proportional,,1.0,578.16,333.72484834066523,1.0,0.0,0.0
BA,4,1.1,fermi,0.05,1.0,115.22,69.022399262848,1.0,0.0,0.0
BA,4,1.1,fermi,0.1,1.0,108.18,62.68052009994812,1.0,0.0,0.0
BA,4,1.1,fermi,0.2,1.0,102.1,58.45724933658784,1.0,0.0,0.0
BA,4,1.1,fermi,0.5,1.0,99.29,56.019156544882044,1.0,0.0,0.0
BA,4,1.2000000000000002,proportional,,1.0,605.26,430.4462712116345,1.0,0.0,0.0
BA,4,1.2000000000000002,fermi,0.05,1.0,121.53,66.64719874083231,1.0,0.0,0.0
BA,4,1.2000000000000002,fermi,0.1,1.0,119.56,66.30495004145618,1.0,0.0,0.0
BA,4,1.2000000000000002,fermi,0.2,1.0,116.01,63.55855489231957,1.0,0.0,0.0
BA,4,1.2000000000000002,fermi,0.5,1.0,115.45,57.19062423159936,1.0,0.0,0.0
BA,4,1.3000000000000003,proportional,,1.0,765.44,467.0783086378557,1.0,0.0,0.0
BA,4,1.3000000000000003,fermi,0.05,1.0,137.1,69.90543612624128,1.0,0.0,0.0
BA,4,1.3000000000000003,fermi,0.1,1.0,140.36,65.88027322347715,1.0,0.0,0.0
BA,4,1.3000000000000003,fermi,0.2,1.0,141.91,69.47015114421444,1.0,0.0,0.0
BA,4,1.3000000000000003,fermi,0.5,1.0,134.59,63.675284844278465,1.0,0.0,0.0
BA,4,1.4000000000000004,proportional,,1.0,1133.49,534.295770056249,1.0,0.0,0.0
BA,4,1.4000000000000004,fermi,0.05,1.0,175.88,89.68392052090496,1.0,0.0,0.0
BA,4,1.4000000000000004,fermi,0.1,1.0,176.73,77.15385343584595,1.0,0.0,0.0
BA,4,1.4000000000000004,fermi,0.2,0.99,187.12,79.77321354941144,1.0,0.0,0.0
BA,4,1.4000000000000004,fermi,0.5,0.99,172.29,72.76005703681106,1.0,0.0,0.0
BA,4,1.5000000000000004,proportional,,0.9980204800000003,5153.88,3896.661458941487,0.34,0.66,0.0
BA,4,1.5000000000000004,fermi,0.05,0.99,700.35,4270.28867496098,1.0,0.0,0.0
BA,4,1.5000000000000004,fermi,0.1,0.99,282.12,131.4822634426408,1.0,0.0,0.0
BA,4,1.5000000000000004,fermi,0.2,0.98,266.64,112.49511278273381,1.0,0.0,0.0
BA,4,1.5000000000000004,fermi,0.5,0.99,252.63,109.43305305071223,1.0,0.0,0.0
BA,4,1.6000000000000005,proportional,,0.99,6420.2,4159.337437621526,1.0,0.0,0.0
BA,4,1.6000000000000005,fermi,0.05,0.98,824.18,1072.8170522507553,1.0,0.0,0.0
BA,4,1.6000000000000005,fermi,0.1,0.98,597.65,392.6932486050658,1.0,0.0,0.0
BA,4,1.6000000000000005,fermi,0.2,0.98,486.94,238.7158486569335,1.0,0.0,0.0
BA,4,1.6000000000000005,fermi,0.5,0.99,482.07,278.7173928910788,1.0,0.0,0.0
BA,4,1.7000000000000006,proportional,,0.9948600000000001,24979.63,15650.196703974683,0.84,0.0,0.16
BA,4,1.7000000000000006,fermi,0.05,0.98,8001.14,7490.714965902787,1.0,0.0,0.0
BA,4,1.7000000000000006,fermi,0.1,0.97,4483.16,3622.1908721656296,1.0,0.0,0.0
BA,4,1.7000000000000006,fermi,0.2,0.98,2322.28,1858.2383866447276,1.0,0.0,0.0
BA,4,1.7000000000000006,fermi,0.5,0.99,1447.41,1032.3265771547296,1.0,0.0,0.0
BA,4,1.8000000000000007,proportional,,0.92466,48545.89,6967.487867079498,0.05,0.0,0.95
BA,4,1.8000000000000007,fermi,0.05,0.89724,36412.28,17181.992436897417,0.47,0.0,0.53
BA,4,1.8000000000000007,fermi,0.1,0.8949600000000001,33964.75,18523.224491634817,0.49,0.0,0.51
BA,4,1.8000000000000007,fermi,0.2,0.8735199999999999,38437.82,17079.526186273437,0.39,0.0,0.61
BA,4,1.8000000000000007,fermi,0.5,0.8149000000000001,44058.63,13262.40099805084,0.23,0.0,0.77
BA,4,1.9000000000000008,proportional,,0.8833,49501.37,4961.305857644742,0.01,0.0,0.99
BA,4,1.9000000000000008,fermi,0.05,0.8172800000000001,45338.53,12012.30824067964,0.18,0.0,0.82
BA,4,1.9000000000000008,fermi,0.1,0.7427800000000001,48684.85,7626.993418608672,0.03,0.0,0.97
BA,4,1.9000000000000008,fermi,0.2,0.65114,49000.79,6994.471081211217,0.02,0.0,0.98
BA,4,1.9000000000000008,fermi,0.5,0.6017,48501.03,8523.505207900094,0.03,0.0,0.97
BA,4,2.000000000000001,proportional,,0.7003199999999999,47052.75,11667.233904722234,0.04,0.02,0.94
BA,4,2.000000000000001,fermi,0.05,0.5410999999999999,48500.98,8523.789611411114,0.03,0.0,0.97
BA,4,2.000000000000001,fermi,0.1,0.5415,48500.98,8523.789611411114,0.03,0.0,0.97
BA,4,2.000000000000001,fermi,0.2,0.53906,48501.0,8523.675834990441,0.03,0.0,0.97
BA,4,2.000000000000001,fermi,0.5,0.52576,48001.23,9791.934159148535,0.04,0.0,0.96
